.samp,.ch,.val
af,af,49.279998779296875
af,af,18.479999542236328
af,af,52.36000061035156
af,af,46.19999694824219
af,af,2.309999942779541
af,af,9.239999771118164
af,af,20.78999900817871
af,af,27.719999313354492
af,af,14.629999160766602
af,af,26.94999885559082
af,af,13.859999656677246
af,af,40.040000915527344
af,af,13.859999656677246
af,af,12.319999694824219
af,af,28.489999771118164
af,af,42.349998474121094
af,af,47.73999786376953
af,af,19.25
af,af,26.94999885559082
af,af,12.319999694824219
af,af,15.399999618530273
af,af,24.639999389648438
af,af,26.18000030517578
af,af,35.41999816894531
af,af,43.119998931884766
af,af,37.72999954223633
af,af,1.5399999618530273
af,af,37.72999954223633
af,af,5.389999866485596
af,af,1.5399999618530273
af,af,30.029998779296875
af,af,22.329999923706055
af,af,3.0799999237060547
af,af,35.41999816894531
af,af,21.559999465942383
af,af,29.259998321533203
af,af,20.020000457763672
af,af,8.469999313354492
af,af,12.319999694824219
af,af,31.56999969482422
af,af,19.25
af,af,2.309999942779541
af,af,41.57999801635742
af,af,10.779999732971191
af,af,41.57999801635742
af,af,35.41999816894531
af,af,20.020000457763672
af,af,44.65999984741211
af,af,12.319999694824219
af,af,4.619999885559082
af,af,15.399999618530273
af,af,10.779999732971191
af,af,38.5
af,af,22.329999923706055
af,af,23.099998474121094
af,af,13.09000015258789
af,af,13.09000015258789
af,af,22.329999923706055
af,af,27.719999313354492
af,af,9.239999771118164
af,af,25.40999984741211
af,af,10.779999732971191
af,af,13.859999656677246
af,af,43.88999938964844
af,af,43.88999938964844
af,af,1.5399999618530273
af,af,24.639999389648438
af,af,1.5399999618530273
af,af,7.699999809265137
af,af,6.159999847412109
af,af,3.0799999237060547
af,af,50.04999923706055
af,af,53.12999725341797
af,af,30.799999237060547
af,af,35.41999816894531
af,af,29.259998321533203
af,af,3.8499999046325684
af,af,39.27000045776367
af,af,32.34000015258789
af,af,51.59000015258789
af,af,26.94999885559082
af,af,15.399999618530273
af,af,22.329999923706055
af,af,3.8499999046325684
af,af,47.73999786376953
af,af,23.869998931884766
af,af,24.639999389648438
af,af,33.11000061035156
af,af,16.939998626708984
af,af,6.929999828338623
af,af,41.57999801635742
af,af,30.029998779296875
af,af,44.65999984741211
af,af,1.5399999618530273
af,af,7.699999809265137
af,af,15.399999618530273
af,af,22.329999923706055
af,af,15.399999618530273
af,af,7.699999809265137
af,af,6.159999847412109
af,af,4.619999885559082
af,af,41.57999801635742
af,af,9.239999771118164
af,af,40.80999755859375
af,af,47.73999786376953
af,af,52.36000061035156
af,af,41.57999801635742
af,af,54.66999816894531
af,af,49.279998779296875
af,af,6.159999847412109
af,af,12.319999694824219
af,af,47.73999786376953
af,af,34.64999771118164
af,af,9.239999771118164
af,af,3.0799999237060547
af,af,23.099998474121094
af,af,40.040000915527344
af,af,30.799999237060547
af,af,27.719999313354492
af,af,30.799999237060547
af,af,13.859999656677246
af,af,40.80999755859375
af,af,20.78999900817871
af,af,11.549999237060547
af,af,50.81999969482422
af,af,35.41999816894531
af,af,13.09000015258789
af,af,28.489999771118164
af,af,26.94999885559082
af,af,31.56999969482422
af,af,16.170000076293945
af,af,44.65999984741211
af,af,16.170000076293945
af,af,47.73999786376953
af,af,39.27000045776367
af,af,5.389999866485596
af,af,36.189998626708984
af,af,43.88999938964844
af,af,29.259998321533203
af,af,3.8499999046325684
af,af,46.19999694824219
af,af,26.18000030517578
af,af,42.349998474121094
af,af,40.80999755859375
af,af,25.40999984741211
af,af,44.65999984741211
af,af,4.619999885559082
af,af,22.329999923706055
af,af,19.25
af,af,33.11000061035156
af,af,3.8499999046325684
af,af,16.170000076293945
af,af,10.779999732971191
af,af,41.57999801635742
af,af,35.41999816894531
af,af,14.629999160766602
af,af,31.56999969482422
af,af,49.279998779296875
af,af,13.859999656677246
af,af,9.239999771118164
af,af,20.020000457763672
af,af,48.5099983215332
af,af,9.239999771118164
af,af,20.020000457763672
af,af,46.96999740600586
af,af,41.57999801635742
af,af,14.629999160766602
af,af,49.279998779296875
af,af,18.479999542236328
af,af,25.40999984741211
af,af,12.319999694824219
af,af,45.43000030517578
af,af,16.939998626708984
af,af,21.559999465942383
af,af,16.939998626708984
af,af,37.72999954223633
af,af,29.259998321533203
af,af,23.869998931884766
af,af,42.349998474121094
af,af,45.43000030517578
af,af,41.57999801635742
af,af,36.189998626708984
af,af,33.11000061035156
af,af,43.119998931884766
af,af,39.27000045776367
af,af,23.099998474121094
af,af,10.779999732971191
af,af,1.5399999618530273
af,af,15.399999618530273
af,af,39.27000045776367
af,af,31.56999969482422
af,af,2.309999942779541
af,af,51.59000015258789
af,af,6.159999847412109
af,af,47.73999786376953
af,af,38.5
af,af,53.89999771118164
af,af,33.11000061035156
af,af,31.56999969482422
af,af,27.719999313354492
af,af,13.859999656677246
af,af,30.799999237060547
af,af,53.89999771118164
af,af,30.029998779296875
af,af,16.939998626708984
af,af,50.81999969482422
af,af,26.94999885559082
af,af,25.40999984741211
af,af,16.939998626708984
af,af,11.549999237060547
af,af,6.929999828338623
af,af,26.94999885559082
af,af,26.18000030517578
af,af,17.709999084472656
af,af,29.259998321533203
af,af,14.629999160766602
af,af,33.11000061035156
af,af,46.96999740600586
af,af,54.66999816894531
af,af,20.020000457763672
af,af,43.119998931884766
af,af,50.04999923706055
af,af,25.40999984741211
af,af,17.709999084472656
af,af,26.18000030517578
af,af,16.170000076293945
af,af,44.65999984741211
af,af,50.04999923706055
af,af,9.239999771118164
af,af,40.040000915527344
af,af,33.87999725341797
af,af,38.5
af,af,5.389999866485596
af,af,10.010000228881836
af,af,6.929999828338623
af,af,20.78999900817871
af,af,3.8499999046325684
af,af,9.239999771118164
af,af,47.73999786376953
af,af,4.619999885559082
af,af,42.349998474121094
af,af,3.8499999046325684
af,af,2.309999942779541
af,af,16.939998626708984
af,af,23.869998931884766
af,af,1.5399999618530273
af,af,1.5399999618530273
af,af,39.27000045776367
af,af,48.5099983215332
af,af,33.11000061035156
af,af,33.11000061035156
af,af,14.629999160766602
af,af,29.259998321533203
af,af,6.929999828338623
af,af,31.56999969482422
af,af,23.099998474121094
af,af,21.559999465942383
af,af,43.88999938964844
af,af,27.719999313354492
af,af,50.04999923706055
af,af,45.43000030517578
af,af,5.389999866485596
af,af,16.170000076293945
af,af,29.259998321533203
af,af,42.349998474121094
af,af,46.19999694824219
af,af,10.010000228881836
af,af,45.43000030517578
af,af,52.36000061035156
af,af,17.709999084472656
af,af,46.19999694824219
af,af,40.040000915527344
af,af,43.119998931884766
af,af,6.929999828338623
af,af,36.189998626708984
af,af,10.010000228881836
af,af,4.619999885559082
af,af,53.89999771118164
af,af,39.27000045776367
af,af,40.80999755859375
af,af,26.94999885559082
af,af,8.469999313354492
af,af,16.170000076293945
af,af,10.010000228881836
af,af,50.04999923706055
af,af,12.319999694824219
af,af,21.559999465942383
af,af,51.59000015258789
af,af,32.34000015258789
af,af,31.56999969482422
af,af,36.189998626708984
af,af,28.489999771118164
af,af,50.81999969482422
af,af,36.959999084472656
af,af,33.87999725341797
af,af,7.699999809265137
af,af,50.81999969482422
af,af,20.020000457763672
af,af,30.029998779296875
af,af,13.09000015258789
af,af,15.399999618530273
af,af,6.929999828338623
af,af,2.309999942779541
af,af,20.020000457763672
af,af,48.5099983215332
af,af,6.159999847412109
af,af,34.64999771118164
af,af,4.619999885559082
af,af,16.170000076293945
af,af,22.329999923706055
af,af,32.34000015258789
af,af,38.5
af,af,36.959999084472656
af,af,3.8499999046325684
af,af,36.189998626708984
af,af,42.349998474121094
af,af,25.40999984741211
af,af,14.629999160766602
af,af,47.73999786376953
af,af,18.479999542236328
af,af,45.43000030517578
af,af,1.5399999618530273
af,af,43.88999938964844
af,af,6.159999847412109
af,af,41.57999801635742
af,af,54.66999816894531
af,af,26.18000030517578
af,af,41.57999801635742
af,af,20.78999900817871
af,af,13.09000015258789
af,af,28.489999771118164
af,af,54.66999816894531
af,af,41.57999801635742
af,af,10.779999732971191
af,af,25.40999984741211
af,af,23.099998474121094
af,af,18.479999542236328
af,af,52.36000061035156
af,af,13.09000015258789
af,af,21.559999465942383
af,af,36.959999084472656
af,af,14.629999160766602
af,af,45.43000030517578
af,af,10.779999732971191
af,af,9.239999771118164
af,af,34.64999771118164
af,af,36.189998626708984
af,af,47.73999786376953
af,af,7.699999809265137
af,af,9.239999771118164
af,af,48.5099983215332
af,af,30.799999237060547
af,af,35.41999816894531
af,af,5.389999866485596
af,af,38.5
af,af,20.78999900817871
af,af,20.78999900817871
af,af,1.5399999618530273
af,af,16.939998626708984
af,af,43.88999938964844
af,af,38.5
af,af,30.029998779296875
af,af,30.799999237060547
af,af,16.939998626708984
af,af,33.11000061035156
af,af,46.19999694824219
af,af,40.80999755859375
af,af,41.57999801635742
af,af,38.5
af,af,33.11000061035156
af,af,35.41999816894531
af,af,48.5099983215332
af,af,29.259998321533203
af,af,8.469999313354492
af,af,53.12999725341797
af,af,48.5099983215332
af,af,16.170000076293945
af,af,33.11000061035156
af,af,38.5
af,af,6.929999828338623
af,af,33.11000061035156
af,af,5.389999866485596
af,af,2.309999942779541
af,af,34.64999771118164
af,af,29.259998321533203
af,af,16.939998626708984
af,af,35.41999816894531
af,af,2.309999942779541
af,af,34.64999771118164
af,af,40.040000915527344
af,af,4.619999885559082
af,af,37.72999954223633
af,af,28.489999771118164
af,af,10.010000228881836
af,af,2.309999942779541
af,af,2.309999942779541
af,af,12.319999694824219
af,af,19.25
af,af,14.629999160766602
af,af,13.859999656677246
af,af,39.27000045776367
af,af,47.73999786376953
af,af,37.72999954223633
af,af,41.57999801635742
af,af,21.559999465942383
af,af,23.869998931884766
af,af,11.549999237060547
af,af,15.399999618530273
af,af,20.020000457763672
af,af,44.65999984741211
af,af,22.329999923706055
af,af,28.489999771118164
af,af,4.619999885559082
af,af,33.11000061035156
af,af,51.59000015258789
af,af,36.959999084472656
af,af,15.399999618530273
af,af,2.309999942779541
af,af,50.04999923706055
af,af,42.349998474121094
af,af,50.81999969482422
af,af,26.94999885559082
af,af,43.88999938964844
af,af,10.010000228881836
af,af,23.869998931884766
af,af,53.89999771118164
af,af,16.170000076293945
af,af,37.72999954223633
af,af,35.41999816894531
af,af,45.43000030517578
af,af,12.319999694824219
af,af,5.389999866485596
af,af,50.04999923706055
af,af,36.959999084472656
af,af,23.099998474121094
af,af,14.629999160766602
af,af,16.170000076293945
af,af,22.329999923706055
af,af,2.309999942779541
af,af,51.59000015258789
af,af,33.11000061035156
af,af,32.34000015258789
af,af,6.929999828338623
af,af,20.020000457763672
af,af,41.57999801635742
af,af,50.81999969482422
af,af,52.36000061035156
af,af,2.309999942779541
af,af,29.259998321533203
af,af,29.259998321533203
af,af,3.0799999237060547
af,af,53.12999725341797
af,af,19.25
af,af,16.939998626708984
af,af,54.66999816894531
af,af,19.25
af,af,31.56999969482422
af,af,34.64999771118164
af,af,9.239999771118164
af,af,35.41999816894531
af,af,47.73999786376953
af,af,46.96999740600586
af,af,30.029998779296875
af,af,14.629999160766602
af,af,39.27000045776367
af,af,38.5
af,af,45.43000030517578
af,af,42.349998474121094
af,af,23.869998931884766
af,af,50.04999923706055
af,af,47.73999786376953
af,af,14.629999160766602
af,af,28.489999771118164
af,af,17.709999084472656
af,af,41.57999801635742
af,af,36.959999084472656
af,af,39.27000045776367
af,af,3.8499999046325684
af,af,53.12999725341797
af,af,46.19999694824219
af,af,44.65999984741211
af,af,46.96999740600586
af,af,34.64999771118164
af,af,4.619999885559082
af,af,34.64999771118164
af,af,25.40999984741211
af,af,43.119998931884766
af,af,31.56999969482422
af,af,1.5399999618530273
af,af,28.489999771118164
af,af,24.639999389648438
af,af,48.5099983215332
af,af,46.96999740600586
af,af,39.27000045776367
af,af,44.65999984741211
af,af,38.5
af,af,40.80999755859375
af,af,10.010000228881836
af,af,15.399999618530273
af,af,29.259998321533203
af,af,10.010000228881836
af,af,3.0799999237060547
af,af,11.549999237060547
af,af,16.170000076293945
af,af,54.66999816894531
af,af,20.020000457763672
af,af,11.549999237060547
af,af,50.81999969482422
af,af,19.25
af,af,42.349998474121094
af,af,9.239999771118164
af,af,33.87999725341797
af,af,22.329999923706055
af,af,12.319999694824219
af,af,16.170000076293945
af,af,44.65999984741211
af,af,49.279998779296875
af,af,43.88999938964844
af,af,16.170000076293945
af,af,19.25
af,af,11.549999237060547
af,af,3.0799999237060547
af,af,36.959999084472656
af,af,7.699999809265137
af,af,45.43000030517578
af,af,53.12999725341797
af,af,16.939998626708984
af,af,9.239999771118164
af,af,29.259998321533203
af,af,27.719999313354492
af,af,11.549999237060547
af,af,22.329999923706055
af,af,6.929999828338623
af,af,3.8499999046325684
af,af,13.859999656677246
af,af,3.8499999046325684
af,af,30.029998779296875
af,af,36.959999084472656
af,af,31.56999969482422
af,af,7.699999809265137
af,af,13.859999656677246
af,af,3.8499999046325684
af,af,1.5399999618530273
af,af,53.89999771118164
af,af,50.04999923706055
af,af,40.80999755859375
af,af,18.479999542236328
af,af,37.72999954223633
af,af,35.41999816894531
af,af,53.89999771118164
af,af,23.869998931884766
af,af,46.96999740600586
af,af,48.5099983215332
af,af,7.699999809265137
af,af,30.029998779296875
af,af,32.34000015258789
af,af,49.279998779296875
af,af,50.04999923706055
af,af,20.020000457763672
af,af,44.65999984741211
af,af,16.939998626708984
af,af,36.189998626708984
af,af,3.0799999237060547
af,af,53.12999725341797
af,af,20.78999900817871
af,af,40.040000915527344
af,af,42.349998474121094
af,af,29.259998321533203
af,af,3.8499999046325684
af,af,30.029998779296875
af,af,46.96999740600586
af,af,7.699999809265137
af,af,18.479999542236328
af,af,14.629999160766602
af,af,16.170000076293945
af,af,38.5
af,af,53.12999725341797
af,af,11.549999237060547
af,af,26.94999885559082
af,af,36.189998626708984
af,af,17.709999084472656
af,af,44.65999984741211
af,af,40.80999755859375
af,af,42.349998474121094
af,af,23.099998474121094
af,af,50.81999969482422
af,af,46.96999740600586
af,af,18.479999542236328
af,af,53.12999725341797
af,af,11.549999237060547
af,af,32.34000015258789
af,af,2.309999942779541
af,af,23.099998474121094
af,af,15.399999618530273
af,af,38.5
af,af,44.65999984741211
af,af,31.56999969482422
af,af,2.309999942779541
af,af,30.799999237060547
af,af,10.010000228881836
af,af,53.89999771118164
af,af,5.389999866485596
af,af,13.09000015258789
af,af,42.349998474121094
af,af,41.57999801635742
af,af,6.929999828338623
af,af,53.89999771118164
af,af,16.170000076293945
af,af,13.09000015258789
af,af,16.939998626708984
af,af,19.25
af,af,3.8499999046325684
af,af,36.189998626708984
af,af,41.57999801635742
af,af,30.029998779296875
af,af,25.40999984741211
af,af,21.559999465942383
af,af,16.170000076293945
af,af,28.489999771118164
af,af,16.170000076293945
af,af,23.869998931884766
af,af,22.329999923706055
af,af,3.0799999237060547
af,af,23.869998931884766
af,af,46.19999694824219
af,af,36.189998626708984
af,af,7.699999809265137
af,af,20.020000457763672
af,af,35.41999816894531
af,af,44.65999984741211
af,af,28.489999771118164
af,af,35.41999816894531
af,af,23.869998931884766
af,af,2.309999942779541
af,af,20.020000457763672
af,af,23.869998931884766
af,af,28.489999771118164
af,af,6.929999828338623
af,af,2.309999942779541
af,af,8.469999313354492
af,af,9.239999771118164
af,af,30.029998779296875
af,af,33.87999725341797
af,af,16.170000076293945
af,af,23.099998474121094
af,af,32.34000015258789
af,af,36.189998626708984
af,af,20.020000457763672
af,af,7.699999809265137
af,af,34.64999771118164
af,af,10.010000228881836
af,af,28.489999771118164
af,af,29.259998321533203
af,af,30.799999237060547
af,af,16.170000076293945
af,af,46.19999694824219
af,af,13.09000015258789
af,af,14.629999160766602
af,af,4.619999885559082
af,af,52.36000061035156
af,af,29.259998321533203
af,af,50.81999969482422
af,af,43.119998931884766
af,af,3.0799999237060547
af,af,1.5399999618530273
af,af,46.19999694824219
af,af,24.639999389648438
af,af,30.029998779296875
af,af,23.099998474121094
af,af,26.94999885559082
af,af,39.27000045776367
af,af,11.549999237060547
af,af,43.88999938964844
af,af,41.57999801635742
af,af,32.34000015258789
af,af,52.36000061035156
af,af,16.170000076293945
af,af,15.399999618530273
af,af,13.09000015258789
af,af,54.66999816894531
af,af,35.41999816894531
af,af,36.959999084472656
af,af,54.66999816894531
af,af,33.87999725341797
af,af,40.80999755859375
af,af,50.81999969482422
af,af,24.639999389648438
af,af,29.259998321533203
af,af,4.619999885559082
af,af,35.41999816894531
af,af,13.859999656677246
af,af,35.41999816894531
af,af,22.329999923706055
af,af,6.159999847412109
af,af,19.25
af,af,30.029998779296875
af,af,43.88999938964844
af,af,16.170000076293945
af,af,21.559999465942383
af,af,54.66999816894531
af,af,33.11000061035156
af,af,53.89999771118164
af,af,25.40999984741211
af,af,33.11000061035156
af,af,36.189998626708984
af,af,33.87999725341797
af,af,24.639999389648438
af,af,17.709999084472656
af,af,33.87999725341797
af,af,2.309999942779541
af,af,46.96999740600586
af,af,31.56999969482422
af,af,50.81999969482422
af,af,30.029998779296875
af,af,30.029998779296875
af,af,49.279998779296875
af,af,35.41999816894531
af,af,6.929999828338623
af,af,20.78999900817871
af,af,1.5399999618530273
af,af,21.559999465942383
af,af,21.559999465942383
af,af,53.89999771118164
af,af,8.469999313354492
af,af,12.319999694824219
af,af,33.87999725341797
af,af,25.40999984741211
af,af,53.12999725341797
af,af,22.329999923706055
af,af,51.59000015258789
af,af,24.639999389648438
af,af,36.959999084472656
af,af,37.72999954223633
af,af,13.09000015258789
af,af,35.41999816894531
af,af,15.399999618530273
af,af,23.869998931884766
af,dr,16.280000686645508
af,dr,7.400000095367432
af,dr,4.440000057220459
af,dr,11.84000015258789
af,dr,15.539999961853027
af,dr,14.800000190734863
af,dr,19.239999771118164
af,dr,16.280000686645508
af,dr,2.2200000286102295
af,dr,19.979999542236328
af,dr,4.440000057220459
af,dr,18.5
af,dr,4.440000057220459
af,dr,4.440000057220459
af,dr,17.760000228881836
af,dr,14.0600004196167
af,dr,8.140000343322754
af,dr,12.579999923706055
af,dr,14.800000190734863
af,dr,19.979999542236328
af,dr,17.760000228881836
af,dr,11.84000015258789
af,dr,17.020000457763672
af,dr,19.239999771118164
af,dr,3.700000047683716
af,dr,5.180000305175781
af,dr,14.0600004196167
af,dr,7.400000095367432
af,dr,12.579999923706055
af,dr,8.880000114440918
af,dr,7.400000095367432
af,dr,11.84000015258789
af,dr,8.880000114440918
af,dr,12.579999923706055
af,dr,1.4800000190734863
af,dr,14.800000190734863
af,dr,7.400000095367432
af,dr,1.4800000190734863
af,dr,2.9600000381469727
af,dr,14.800000190734863
af,dr,2.9600000381469727
af,dr,1.4800000190734863
af,dr,15.539999961853027
af,dr,18.5
af,dr,12.579999923706055
af,dr,11.84000015258789
af,dr,10.360000610351562
af,dr,6.659999847412109
af,dr,12.579999923706055
af,dr,16.280000686645508
af,dr,13.319999694824219
af,dr,14.0600004196167
af,dr,7.400000095367432
af,dr,5.920000076293945
af,dr,2.9600000381469727
af,dr,6.659999847412109
af,dr,10.360000610351562
af,dr,7.400000095367432
af,dr,2.2200000286102295
af,dr,14.800000190734863
af,dr,17.760000228881836
af,dr,3.700000047683716
af,dr,7.400000095367432
af,dr,18.5
af,dr,14.0600004196167
af,dr,8.880000114440918
af,dr,1.4800000190734863
af,dr,2.9600000381469727
af,dr,16.280000686645508
af,dr,1.4800000190734863
af,dr,12.579999923706055
af,dr,11.100000381469727
af,dr,15.539999961853027
af,dr,5.920000076293945
af,dr,12.579999923706055
af,dr,3.700000047683716
af,dr,19.239999771118164
af,dr,8.880000114440918
af,dr,17.760000228881836
af,dr,7.400000095367432
af,dr,3.700000047683716
af,dr,11.100000381469727
af,dr,13.319999694824219
af,dr,2.2200000286102295
af,dr,6.659999847412109
af,dr,6.659999847412109
af,dr,14.0600004196167
af,dr,7.400000095367432
af,dr,9.619999885559082
af,dr,10.360000610351562
af,dr,19.979999542236328
af,dr,19.979999542236328
af,dr,2.2200000286102295
af,dr,8.140000343322754
af,dr,11.84000015258789
af,dr,11.84000015258789
af,dr,11.84000015258789
af,dr,14.800000190734863
af,dr,19.979999542236328
af,dr,17.020000457763672
af,dr,11.100000381469727
af,dr,19.979999542236328
af,dr,3.700000047683716
af,dr,15.539999961853027
af,dr,8.140000343322754
af,dr,8.880000114440918
af,dr,1.4800000190734863
af,dr,15.539999961853027
af,dr,4.440000057220459
af,dr,5.920000076293945
af,dr,14.0600004196167
af,dr,14.800000190734863
af,dr,16.280000686645508
af,dr,14.800000190734863
af,dr,3.700000047683716
af,dr,2.9600000381469727
af,dr,2.2200000286102295
af,dr,5.180000305175781
af,dr,8.140000343322754
af,dr,8.880000114440918
af,dr,10.360000610351562
af,dr,5.920000076293945
af,dr,5.180000305175781
af,dr,10.360000610351562
af,dr,4.440000057220459
af,dr,17.020000457763672
af,dr,8.880000114440918
af,dr,4.440000057220459
af,dr,8.140000343322754
af,dr,14.0600004196167
af,dr,14.800000190734863
af,dr,6.659999847412109
af,dr,4.440000057220459
af,dr,8.140000343322754
af,dr,9.619999885559082
af,dr,11.100000381469727
af,dr,19.239999771118164
af,dr,14.0600004196167
af,dr,17.020000457763672
af,dr,8.880000114440918
af,dr,12.579999923706055
af,dr,19.979999542236328
af,dr,18.5
af,dr,2.2200000286102295
af,dr,5.920000076293945
af,dr,5.180000305175781
af,dr,19.979999542236328
af,dr,7.400000095367432
af,dr,1.4800000190734863
af,dr,19.239999771118164
af,dr,5.180000305175781
af,dr,9.619999885559082
af,dr,8.880000114440918
af,dr,8.140000343322754
af,dr,4.440000057220459
af,dr,18.5
af,dr,2.9600000381469727
